dataset,sample,poisson_ratio,matrix_error,action_error,rayleigh_error,rigid_residual,affine_residual,symmetry_residual,psd_violation,modal_share_1,modal_share_2,modal_share_3,modal_share_4,modal_share_5
parameter hold-out,70,0.20,7.245593187014093e-05,8.285452789573294e-05,0.0004112361714506277,1.0221946486247403e-16,5.1611739374989995e-08,0.0,0.0,0.9998140646573239,0.9991191002792456,0.0010198903168330956,3.17991133297656e-05,1.5477428179270815e-05
parameter hold-out,71,0.24,8.012949069123477e-05,8.926711104930613e-05,0.0005045310882147708,1.532319503759931e-16,4.1797707756784006e-08,0.0,0.0,0.999839401468826,0.9992493297439742,0.0008649650658623183,3.2907293748735184e-05,1.3664772213277624e-05
parameter hold-out,72,0.28,6.634392575271762e-05,7.071202144580952e-05,0.0002782619098978268,1.2872984278480978e-16,3.197869038576506e-08,0.0,0.0,0.9998583754606823,0.9994367693352447,0.0006585314105404916,3.4358278552827945e-05,1.1722945585567921e-05
parameter hold-out,73,0.32,0.00010714274622665443,0.00011681394870473332,0.0005112447752608834,1.5181916435864585e-16,2.6891752005351717e-08,0.0,0.0,0.9998724706984677,0.9996170781782749,0.0004638074126269924,3.650637607230311e-05,9.692433043201515e-06
parameter hold-out,74,0.36,6.628434089677158e-05,6.653012122684962e-05,0.00032354218859183487,2.148395557843241e-16,3.438704380578157e-08,0.0,0.0,0.9998825486261953,0.9997559461805424,0.00031291895429269313,4.076715871788695e-05,7.609601991963454e-06
parameter hold-out,75,0.40,3.6880064004570476e-05,2.966417273787681e-05,0.00030217896673140354,2.5116137073973575e-16,2.911384742667291e-08,0.0,0.0,0.9998888733540379,0.9998288432669473,0.00020891106365892938,6.790181790947997e-05,5.4952784310798286e-06
parameter hold-out,76,0.44,2.6738421745184844e-05,2.0092720150262415e-05,0.00030605760142459815,1.9843000097955188e-16,2.7268906050892222e-08,0.0,0.0,0.9998980829961747,0.9998914942926301,0.00014252326172683408,6.459645511103141e-05,3.3476962793296583e-06
parameter hold-out,77,0.46,3.9164071721797866e-05,3.9435360614636125e-05,0.0004184630874118353,1.851544095733505e-16,2.8595443732889852e-08,0.0,0.0,0.9999389343258098,0.9998904983623982,0.00012024588836348313,4.802567392225471e-05,2.2583259676938457e-06
parameter hold-out,78,0.48,1.1975434223853102e-05,1.1157179206706188e-05,0.00029874300885693664,1.954833608076186e-16,3.1487333439942646e-08,0.0,0.0,0.9999591204384874,0.9998867895481051,0.0001045648721484895,4.840752666058769e-05,1.1505717156158644e-06
parameter hold-out,79,0.49,9.90055818828828e-06,9.837506904869241e-06,0.0003766376368582905,1.4387750966258283e-16,2.566624019837732e-08,0.0,0.0,0.9999670028827866,0.9998818099213775,0.00010014322681446462,5.046719824875997e-05,5.840058899435355e-07
parameter hold-out,80,0.20,0.0004797432082494163,0.0005421282031655312,0.0018807477970328515,2.3771149619271854e-16,3.1824140902562785e-08,0.0,0.0,0.9318143988374978,0.6243186935533643,0.37890395840556784,0.04352058297896688,0.020466339178290317
parameter hold-out,81,0.24,0.0001735976718625352,0.00020026181923033456,0.0007845939662218013,2.091627141833946e-16,4.402990796174236e-08,0.0,0.0,0.9375245034731903,0.6561873889859459,0.34090691829389025,0.04701206993624305,0.018099733927649707
parameter hold-out,82,0.28,0.00010027132003431107,9.784667033439387e-05,0.0004552379803778436,1.4582211808187708e-16,3.547768617139666e-08,0.0,0.0,0.9417663934744287,0.69929897385426,0.29076603589195715,0.05257891809521104,0.015532733279841837
parameter hold-out,83,0.32,0.00011804211309398523,0.00010272184617039477,0.0005999233976321104,1.964967477482659e-16,2.7084885850285422e-08,0.0,0.0,0.9447371280463169,0.7466635051088392,0.23251529720333297,0.06324315578110346,0.012833448271335843
parameter hold-out,84,0.36,0.0001858707588316326,0.00016879647712675242,0.0010097684312290836,1.5259055173082416e-16,2.572637916500134e-08,0.0,0.0,0.9465148658121132,0.7793072980850182,0.172581631794841,0.09165356333824014,0.010062925762491366
parameter hold-out,85,0.40,0.00021363987971063345,0.00021620301549129368,0.0014534043355047428,2.852884322533355e-16,3.0477491218188e-08,0.0,0.0,0.946991499998268,0.6913204765977192,0.23684059773714083,0.11799637442594207,0.007257435003102864
parameter hold-out,86,0.44,0.00012516549915707507,0.00012756446888016453,0.0015586593696019088,3.328961604868858e-16,3.70689706298878e-08,0.0,0.0,0.9461087282579966,0.7943783121009981,0.18160743850520955,0.0738789521070479,0.0044194747369944755
parameter hold-out,87,0.46,4.309360377703184e-05,3.08852439254666e-05,0.0008270115861959808,1.497984735997009e-16,2.6498474281702163e-08,0.0,0.0,0.9446077393716266,0.9022477585246843,0.09397874235076033,0.056227718128682914,0.002984793879609859
parameter hold-out,88,0.48,4.1690437691145056e-05,3.732582154544218e-05,0.0009415992823092752,2.556276046043335e-16,2.4695066798545868e-08,0.0,0.0,0.9450364395813439,0.9418602834072851,0.0700720669021495,0.04156333004285825,0.0015261102318936707
parameter hold-out,89,0.49,3.61319935133745e-05,3.396316525225441e-05,0.0012075537154651267,2.749047419534512e-16,3.5014338630121184e-08,0.0,0.0,0.9582666295014082,0.9390228927112615,0.06667363203554406,0.035264768489022165,0.000777281390323989
parameter hold-out,90,0.20,0.00010435495325146376,0.00010497483385263442,0.00032205071936370277,1.8799256054463253e-16,3.444661885246385e-08,0.0,0.0,0.8516690674795387,0.8121921555808902,0.25174363436311903,0.06478173476083737,0.019619932906526562
parameter hold-out,91,0.24,0.0003119093185546835,0.00037211293847933815,0.001192898735404166,1.932546063555008e-16,3.50654923184357e-08,0.0,0.0,0.8580422140368974,0.7721440128665178,0.28081267220873324,0.07238822003589071,0.016979981982900315
parameter hold-out,92,0.28,0.0002840901775833663,0.00031951061753459975,0.0011649297698890183,2.0236519196389427e-16,3.042129830666367e-08,0.0,0.0,0.8624639741707122,0.7135081415450725,0.32528655523744837,0.08482677396884958,0.014281299409310043
parameter hold-out,93,0.32,0.00025871886773055436,0.00024162546474784357,0.0011341392802989912,2.861777882035915e-16,3.608160781729584e-08,0.0,0.0,0.8647263938940851,0.6271091224763896,0.38790087054731226,0.1088271229219106,0.011589997437017644
parameter hold-out,94,0.36,0.0003829687364844066,0.00035599293241593473,0.002105342464849047,3.3787865179969605e-16,3.420125862947861e-08,0.0,0.0,0.8643308918090882,0.5059625216833717,0.4522805722544816,0.16867189804873864,0.008951944604745478
parameter hold-out,95,0.40,0.0004827792598152652,0.0004970027268599481,0.00359708918426015,1.9737962280128361e-16,2.7351098857148747e-08,0.0,0.0,0.8601562115921783,0.41401541225818483,0.36090158817253176,0.3596011625478849,0.006383522314787858
parameter hold-out,96,0.44,0.000333057877664718,0.00030838470358685846,0.0029966403397766513,3.589212601302306e-16,2.9984652032435626e-08,0.0,0.0,0.8500416178416167,0.7015038368753448,0.23056939628532805,0.2156270589555282,0.003862118056278252
parameter hold-out,97,0.46,0.00018971346483067007,0.00018692004019735164,0.002874190671951887,3.34983207901324e-16,2.8404445529666266e-08,0.0,0.0,0.8406284811808763,0.8150254569051758,0.18192908080470335,0.16081126393691106,0.002601681407773311
parameter hold-out,98,0.48,5.5343498317351496e-05,5.531874309720223e-05,0.0012879924754505634,3.1491022806223594e-16,2.423361731692969e-08,0.0,0.0,0.8864962268399261,0.8255518539724092,0.1460796972386579,0.14082673688257766,0.001321197098405053
parameter hold-out,99,0.49,3.950345167797061e-05,2.859685984777017e-05,0.0018022210374821004,8.894950679299584e-16,2.8292279752981813e-08,0.0,0.0,0.9123939510749687,0.8134156934627087,0.14066144046480117,0.13314938528852935,0.0006710269718463068
parameter hold-out,100,0.20,9.948330044537165e-05,0.00010764765397188523,0.0004954840024545715,1.6516989461600475e-16,2.6460217407547603e-08,0.0,0.0,0.9984523117253741,0.9895147255565979,0.008109668068380963,0.0033159837865131734,0.0006073803576154848
parameter hold-out,101,0.24,9.118668980400023e-05,8.331910375756735e-05,0.00036781577370600553,1.4299068782757013e-16,2.6561350011250915e-08,0.0,0.0,0.9983642380337726,0.9890414545868458,0.008264316504315467,0.0037954886898583944,0.0005399836768866468
parameter hold-out,102,0.28,9.001772884253379e-05,8.12844332454872e-05,0.00040395721956359683,2.0835189375035186e-16,2.7300869524952486e-08,0.0,0.0,0.9982556724204842,0.9878676094238624,0.00891325431801103,0.004503555793329447,0.00046765779854191837
parameter hold-out,103,0.32,8.440246063083508e-05,7.482938917753746e-05,0.000414588883857224,1.4508611057756514e-16,3.3373708775383063e-08,0.0,0.0,0.99811816104668,0.9853559647832395,0.01049923752601346,0.005643846078858856,0.00039141295334222396
parameter hold-out,104,0.36,6.79199619567617e-05,6.732813851715137e-05,0.0004070520589744724,1.4478832108390412e-16,3.2950589758114214e-08,0.0,0.0,0.9979366386839954,0.9794607835179882,0.014560605413371456,0.007743003468970777,0.0003120118139703122
parameter hold-out,105,0.40,7.365679507120813e-05,6.545559117010126e-05,0.0004822273447099854,1.7864203987851792e-16,2.3968604332899487e-08,0.0,0.0,0.9976810257380492,0.9594589594848397,0.030054214241116532,0.01261189170846204,0.00022970029362741085
parameter hold-out,106,0.44,4.088963236113929e-05,4.148356517642067e-05,0.00046781609907554564,2.255221126588757e-16,2.5501043158122762e-08,0.0,0.0,0.9973165771229414,0.6816720156904321,0.28995243179705277,0.031091196429316372,0.0001436957318779735
parameter hold-out,107,0.46,2.7680410483440003e-05,2.4560380719352026e-05,0.00035713473227886336,1.8289349449313948e-16,2.795913232458294e-08,0.0,0.0,0.9970378201944474,0.8230397219332285,0.10529470262026797,0.07463631962734074,9.862504904039541e-05
parameter hold-out,108,0.48,1.1412700860806269e-05,1.1222628417562745e-05,0.00031361232385302085,3.576095047629519e-16,2.6945727254089583e-08,0.0,0.0,0.9966239272775143,0.6123518849770345,0.36972697191191617,0.02137936373793749,5.1301354791217546e-05
